AllocateAddress,closed,,
AssignPrivateIpAddresses,closed,,
AssociateAddress,closed,,
AssociateDhcpOptions,closed,,
AssociateRouteTable,closed,,
AttachInternetGateway,closed,,
AttachNetworkInterface,closed,,
AttachVolume,closed,,
AttachVpnGateway,closed,,
AuthorizeSecurityGroupEgress,closed,,
AuthorizeSecurityGroupIngress,closed,,
BundleInstance,,,
CancelBundleTask,,,
CancelConversionTask,closed,,
CancelExportTask,,,
CancelReservedInstancesListing,,,
CancelSpotInstanceRequests,closed,,
ConfirmProductInstance,,,
CopyImage,,,
CopySnapshot,closed,,
CreateCustomerGateway,closed,,
CreateDhcpOptions,closed,,
CreateImage,closed,,
CreateInstanceExportTask,,,
CreateInternetGateway,closed,,
CreateKeyPair,closed,,
CreateNetworkAcl,closed,,
CreateNetworkAclEntry,closed,,
CreateNetworkInterface,closed,,
CreatePlacementGroup,closed,,
CreateReservedInstancesListing,,,
CreateRoute,closed,,
CreateRouteTable,closed,,
CreateSecurityGroup,closed,,
CreateSnapshot,closed,,
CreateSpotDatafeedSubscription,,,
CreateSubnet,closed,,
CreateTags,closed,,
CreateVolume,closed,,
CreateVpc,closed,,
CreateVpnConnection,closed,,
CreateVpnConnectionRoute,closed,,
CreateVpnGateway,closed,,
DeleteCustomerGateway,closed,,
DeleteDhcpOptions,closed,,
DeleteInternetGateway,closed,,
DeleteKeyPair,closed,,
DeleteNetworkAcl,closed,,
DeleteNetworkAclEntry,closed,,
DeleteNetworkInterface,closed,,
DeletePlacementGroup,closed,,
DeleteRoute,closed,,
DeleteRouteTable,closed,,
DeleteSecurityGroup,closed,,
DeleteSnapshot,closed,,
DeleteSpotDatafeedSubscription,,,
DeleteSubnet,closed,,
DeleteTags,closed,,
DeleteVolume,closed,,
DeleteVpc,closed,,
DeleteVpnConnection,closed,,
DeleteVpnConnectionRoute,closed,,
DeleteVpnGateway,closed,,
DeregisterImage,closed,,
DescribeAccountAttributes,,,
DescribeAddresses,closed,,
DescribeAvailabilityZones,closed,,
DescribeBundleTasks,,,
DescribeConversionTasks,closed,,
DescribeCustomerGateways,closed,,
DescribeDhcpOptions,closed,,
DescribeExportTasks,,,
DescribeImageAttribute,closed,,
DescribeImages,closed,,
DescribeInstanceAttribute,closed,,
DescribeInstances,closed,,
DescribeInstanceStatus,closed,,
DescribeInternetGateways,closed,,
DescribeKeyPairs,closed,,
DescribeNetworkAcls,closed,,
DescribeNetworkInterfaceAttribute,closed,,
DescribeNetworkInterfaces,closed,,
DescribePlacementGroups,closed,,
DescribeRegions,closed,,
DescribeReservedInstances,,,
DescribeReservedInstancesListings,,,
DescribeReservedInstancesModifications,,,
DescribeReservedInstancesOfferings,,,
DescribeRouteTables,closed,,
DescribeSecurityGroups,closed,,
DescribeSnapshotAttribute,closed,,
DescribeSnapshots,closed,,
DescribeSpotDatafeedSubscription,,,
DescribeSpotInstanceRequests,closed,,
DescribeSpotPriceHistory,,,
DescribeSubnets,closed,,
DescribeTags,closed,,
DescribeVolumes,closed,,
DescribeVolumeAttribute,closed,,
DescribeVolumeStatus,closed,,
DescribeVpcs,closed,,
DescribeVpcAttribute,,,
DescribeVpnConnections,closed,,
DescribeVpnGateways,closed,,
DetachInternetGateway,closed,,
DetachNetworkInterface,closed,,
DetachVolume,closed,,
DetachVpnGateway,closed,,
DisableVgwRoutePropagation,closed,,
DisassociateAddress,closed,,
DisassociateRouteTable,closed,,
EnableVgwRoutePropagation,closed,,
EnableVolumeIO,closed,,
GetConsoleOutput,closed,,
GetPasswordData,closed,,
ImportInstance,closed,,
ImportKeyPair,closed,,
ImportVolume,closed,,
ModifyImageAttribute,closed,,
ModifyInstanceAttribute,closed,,
ModifyNetworkInterfaceAttribute,closed,,
ModifyReservedInstances,,,
ModifySnapshotAttribute,closed,,
ModifyVolumeAttribute,closed,,
ModifyVpcAttribute,,,
MonitorInstances,closed,,
PurchaseReservedInstancesOffering,,,
RebootInstances,closed,,
RegisterImage,closed,,
ReleaseAddress,closed,,
ReplaceNetworkAclAssociation,closed,,
ReplaceNetworkAclEntry,closed,,
ReplaceRoute,closed,,
ReplaceRouteTableAssociation,closed,,
ReportInstanceStatus,,,
RequestSpotInstances,closed,,
ResetImageAttribute,,,
ResetInstanceAttribute,closed,,
ResetNetworkInterfaceAttribute,closed,,
ResetSnapshotAttribute,closed,,
RevokeSecurityGroupEgress,closed,,
RevokeSecurityGroupIngress,closed,,
RunInstances,closed,,
StartInstances,closed,,
StopInstances,closed,,
TerminateInstances,closed,,
UnassignPrivateIpAddresses,closed,,
UnmonitorInstances,closed,,
